Адрес,Год постройки,Этажей,Квартир,Ссылка,latitude,longitude,Магазинов по близости,Дикси,Магнит,Пятёрочка,Перекрёсток,Лента,Вкустер,Верный
 ул. Бабушкина 131к 2 , 1960,5,64, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/281711,30.471672,59.859117,1,False,True,False,False,False,False,False
 ул. Бабушкина 133 Литер М, 1933,5,99, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1149115,30.474591,59.858882,2,False,True,False,False,False,False,False
 ул. Бабушкина 135 Литер Р, 1932,5,116, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/699719,30.475481,59.859203,2,False,True,False,False,False,False,False
 ул. Бабушкина 71/8 , 1952,6,51, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/20714,30.443141,59.876748,3,True,False,True,False,True,False,False
 ул. Бадаева 3к 1 , 1994,12,239, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1110967,30.454325,59.917939,2,False,False,True,False,True,False,False
 ул. Бадаева 5к 2 , 2008,16,98, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1160508,30.445872,59.92028,1,False,False,True,False,False,False,False
 ул. Бадаева 6к 1 , 2010,18,465, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1211932,30.45004,59.9177,1,False,False,False,False,True,False,False
 ул. Бадаева 7 , 1992,12,236, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1110968,30.4443,59.920095,2,False,True,True,False,False,False,False
 ул. Бадаева 7к 2 , 2010,15,94, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1160124,30.444336,59.920717,1,False,False,True,False,False,False,False
 ул. Бадаева 8к 1 , 2008,18,771, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1211933,30.447301,59.918088,0,False,False,False,False,False,False,False
 ул. Бадаева 8к 2 , 2008,19,637, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1211934,30.448837,59.916906,0,False,False,False,False,False,False,False
 ул. Бадаева 8к 3 , 2009,17,150, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1211935,30.446753,59.9171,0,False,False,False,False,False,False,False
 ул. Бадаева 9 , 1997,17,95, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1099267,30.443168,59.920424,2,False,True,True,False,False,False,False
 ул. Бадаева 11 , 1993,12,214, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1110969,30.443114,59.920975,2,False,True,True,False,False,False,False
 ул. Бадаева 14к 1 , 2011,18,716, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1137584,30.442513,59.919491,2,False,True,True,False,False,False,False
 ул. Бадаева 14к 2 , 2010,18,101, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1137585,30.442962,59.918214,0,False,False,False,False,False,False,False
 ул. Бадаева 14к 4 , 2010,18,101, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1137586,30.441857,59.918444,1,False,True,False,False,False,False,False
 ул. Байконурская 5к 1 , 1977,9,504, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1196514,30.27751,59.997235,2,False,True,True,False,False,False,False
 ул. Байконурская 7к 1 , 1974,9,215, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/547136,30.276396,60.00029,2,False,False,True,False,False,False,False
 ул. Байконурская 7к 1 Литер В, 1974,9,216, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1212243,30.277492,60.001316,1,False,False,True,False,False,False,False
 ул. Байконурская 15 , 1974,9,537, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1196515,30.276243,60.002809,1,False,False,True,False,False,False,False
 ул. Байконурская 19к 1 , 1976,9,378, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1142890,30.277438,60.008963,1,False,False,False,True,False,False,False
 пр-кт Бакунина 11 Литер В, 1856,4,16, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162498,30.378346,59.930128,2,True,True,False,False,False,False,False
 пр-кт Бакунина 13 , 1860,4,28, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162499,30.379442,59.930246,2,True,True,False,False,False,False,False
 пр-кт Бакунина 17 , 1883,3,11, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162500,30.380574,59.930363,2,True,True,False,False,False,False,False
 пр-кт Бакунина 29 , 1859,4,27, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1162503,30.38458,59.930728,1,False,True,False,False,False,False,False
